Alter;Reisetaetigkeit;Abteilung;KmZurArbeit;Ausbildung;PersonalNr;Geschlecht;Verdienst;KostensatzTag;Berufserfahrung;Position;Ehestand;AnzFirmen;ueberstunden;ProzentGehaltserhoehung;StandardHours;AktienOptionen;JahreBerufserfahrung;FortbildungProJahr;WorkLifeBalance;Firmenzugehoerigkeit;DauerLetzteFirmenzugehoerigkeit;Performance;Attrition
41;Selten;Vertrieb;1;2;1;w;5993;1102;2;Vertrieb;ledig;8;Yes;11;80;0;8;0;1;6;4;3;Yes
49;Haeufig;Entwicklung;8;1;2;m;5130;279;2;Wissenschaftler;verheiratet;1;No;23;80;1;10;3;3;10;7;4;No
37;Selten;Entwicklung;2;2;4;m;2090;1373;1;Labortechniker;ledig;6;Yes;15;80;0;7;3;3;0;0;3;Yes
33;Haeufig;Entwicklung;3;4;5;w;2909;1392;1;Wissenschaftler;verheiratet;1;Yes;11;80;0;8;3;3;8;7;3;No
27;Selten;Entwicklung;2;1;7;m;3468;591;1;Labortechniker;verheiratet;9;No;12;80;1;6;3;3;2;2;3;No
32;Haeufig;Entwicklung;2;2;8;m;3068;1005;1;Labortechniker;ledig;0;No;13;80;0;8;2;2;7;7;3;No
59;Selten;Entwicklung;3;3;10;w;2670;1324;1;Labortechniker;verheiratet;4;Yes;20;80;3;12;3;2;1;0;4;No
30;Selten;Entwicklung;24;1;11;m;2693;1358;1;Labortechniker;geschieden;1;No;22;80;1;1;2;3;1;0;4;No
38;Haeufig;Entwicklung;23;3;12;m;9526;216;3;Abteilungsleiter;ledig;0;No;21;80;0;10;2;3;9;7;4;No
36;Selten;Entwicklung;27;3;13;m;5237;1299;2;Produktmanager;verheiratet;6;No;13;80;2;17;3;2;7;7;3;No
35;Selten;Entwicklung;16;3;14;m;2426;809;1;Labortechniker;verheiratet;0;No;13;80;1;6;5;3;5;4;3;No
29;Selten;Entwicklung;15;2;15;w;4193;153;2;Labortechniker;ledig;0;Yes;12;80;0;10;3;3;9;5;3;No
31;Selten;Entwicklung;26;1;16;m;2911;670;1;Wissenschaftler;geschieden;1;No;17;80;1;5;1;2;5;2;3;No
34;Selten;Entwicklung;19;2;18;m;2661;1346;1;Labortechniker;geschieden;0;No;11;80;1;3;2;3;2;2;3;No
28;Selten;Entwicklung;24;3;19;m;2028;103;1;Labortechniker;ledig;5;Yes;14;80;0;6;4;3;4;2;3;Yes
29;Selten;Entwicklung;21;4;20;w;9980;1389;3;Abteilungsleiter;geschieden;1;No;11;80;1;10;1;3;10;9;3;No
32;Selten;Entwicklung;5;2;21;m;3298;334;1;Wissenschaftler;geschieden;0;Yes;12;80;2;7;5;2;6;2;3;No
22;Nie;Entwicklung;16;2;22;m;2935;1123;1;Labortechniker;geschieden;1;Yes;13;80;2;1;2;2;1;0;3;No
53;Selten;Vertrieb;2;4;23;w;15427;1219;4;Manager;verheiratet;2;No;16;80;0;31;3;3;25;8;3;No
38;Selten;Entwicklung;2;3;24;m;3944;371;1;Wissenschaftler;ledig;5;Yes;11;80;0;6;3;3;3;2;3;No
24;Nie;Entwicklung;11;2;26;w;4011;673;2;Abteilungsleiter;geschieden;0;No;18;80;1;5;5;2;4;2;3;No
36;Selten;Vertrieb;9;4;27;m;3407;1218;1;Vertriebsmitarbeiter;ledig;7;No;23;80;0;10;4;3;5;3;4;Yes
34;Selten;Entwicklung;7;4;28;w;11994;419;3;AbteilungsleiterForschung;ledig;0;No;11;80;0;13;4;3;12;6;3;No
21;Selten;Entwicklung;15;2;30;m;1232;391;1;Wissenschaftler;ledig;1;No;14;80;0;0;6;3;0;0;3;No
34;Selten;Entwicklung;6;1;31;m;2960;699;1;Wissenschaftler;ledig;2;No;11;80;0;8;2;3;4;2;3;Yes
